"rank","name","pop2020","pop2010","change","density"
"121","West Pleasant View","4691","3840","0.2216","1174.0473"
"122","Basalt","4658","3845","0.2114","900.6274"
"123","Todd Creek","4286","3768","0.1375","170.7060"
"124","El Jebel","4167","3801","0.0963","303.6176"
"125","Niwot","4106","4006","0.0250","396.6307"
"126","Monte Vista","4096","4457","-0.0810","600.6041"
"127","Florence","4036","3882","0.0397","364.4013"
"128","Rocky Ford","3862","3966","-0.0262","897.6636"
"129","Genesee","3766","3609","0.0435","218.4163"
"130","Ponderosa Park","3617","3232","0.1191","95.7636"
"131","Meridian","3615","2970","0.2172","1591.1092"
"132","Yuma","3408","3525","-0.0332","424.4920"
"133","Lincoln Park","3290","3546","-0.0722","335.5082"
"134","Frisco","3281","2697","0.2165","752.6628"
"135","Silt","3233","2919","0.1076","754.0806"
"136","Orchard City","3221","3111","0.0354","107.9413"
"137","Walsenburg","3076","3045","0.0102","397.2374"
"138","Penrose","2990","3582","-0.1653","64.6892"
"139","Buena Vista","2935","2566","0.1438","333.3458"
"140","Holly Hills","2909","2521","0.1539","1914.5715"
"141","Leadville","2900","2584","0.1223","961.4237"
"142","Acres Green","2899","3007","-0.0359","1861.7824"
"143","Bayfield","2847","2346","0.2136","667.7048"
"144","Palmer Lake","2836","2423","0.1704","356.5641"
"145","Platteville","2807","2499","0.1232","352.6400"
"146","La Salle","2764","1965","0.4066","1114.3005"
"147","Snowmass Village","2741","2822","-0.0287","39.3716"
"148","Palisade","2728","2643","0.0322","886.4021"
"149","Strasburg","2705","2447","0.1054","50.1997"
"150","Telluride","2494","2230","0.1184","433.3578"
"151","Bennett","2492","2310","0.0788","166.0791"
"152","Laporte","2411","2450","-0.0159","152.1981"
"153","Center","2400","2246","0.0686","1072.6257"
"154","Wray","2304","2359","-0.0233","253.2583"
"155","Colorado City","2300","2193","0.0488","64.8410"
"156","Cedaredge","2296","2246","0.0223","452.0682"
"157","Burlington","2288","4251","-0.4618","410.4308"
"158","Holyoke","2235","2328","-0.0399","349.4137"
"159","Rangely","2225","2403","-0.0741","199.6321"
"160","Meeker","2205","2452","-0.1007","240.8275"
"161","Las Animas","2194","2408","-0.0889","520.8766"
"162","Granby","2168","1840","0.1783","66.0241"
"163","Coal Creek","2157","2400","-0.1012","88.7059"
"164","Pagosa Springs","2147","1720","0.2483","166.4986"
"165","Lyons","2137","2124","0.0061","612.8442"
"166","Hayden","2048","1801","0.1371","241.0055"
"167","Leadville North","2031","1794","0.1321","319.6829"
"168","Hudson","1982","2360","-0.1602","133.3019"
"169","Ault","1979","1538","0.2867","442.5897"
"170","Perry Park","1917","1646","0.1646","86.5490"
"171","Limon","1898","1883","0.0080","231.7373"
"172","Idaho Springs","1872","1726","0.0846","321.2278"
"173","Olathe","1857","1835","0.0120","477.4233"
"174","Akron","1783","1705","0.0457","248.3242"
"175","Crested Butte","1771","1479","0.1974","817.6777"
"176","Kersey","1703","1477","0.1530","387.3298"
"177","Nederland","1559","1447","0.0774","406.7798"
"178","Del Norte","1553","1691","-0.0816","609.6699"
"179","Columbine Valley","1550","1260","0.2302","601.0175"
"180","Kremmling","1523","1440","0.0576","449.4349"
"181","Paonia","1478","1455","0.0158","694.9702"
"182","Aetna Estates","1475","834","0.7686","4328.5724"
"183","Inverness","1465","1532","-0.0437","379.7816"
"184","Elizabeth","1452","1351","0.0748","429.7931"
"186","Mancos","1439","1341","0.0731","865.9963"
"185","Alamosa East","1439","1458","-0.0130","171.3797"
"187","Mountain Village","1432","1314","0.0898","167.5420"
"188","Springfield","1409","1458","-0.0336","483.0024"
"189","Indian Hills","1408","1280","0.1000","100.2092"
"190","Fraser","1348","1217","0.1076","150.5568"
"191","Byers","1307","1160","0.1267","44.0711"
"192","Cripple Creek","1305","1239","0.0533","332.4993"
"193","Keenesburg","1263","1128","0.1197","147.4117"
"194","Cascade-Chipita Park","1260","1655","-0.2387","36.1648"
"195","Pierce","1244","833","0.4934","572.4857"
"196","Loma","1161","1293","-0.1021","41.1658"
"197","Fowler","1154","1184","-0.0253","796.9173"
"198","Minturn","1137","1087","0.0460","56.9240"
"199","Georgetown","1136","1035","0.0976","439.8106"
"200","Floyd Hill","1131","998","0.1333","82.9051"
"202","Poncha Springs","1126","723","0.5574","147.5692"
"201","Gilcrest","1126","1038","0.0848","536.0986"
"203","Parachute","1122","1078","0.0408","271.9631"
"205","Julesburg","1100","1219","-0.0976","280.9010"
"204","Aristocrat Ranchettes","1100","1344","-0.1815","227.5247"
"206","Towaoc","1099","1087","0.0110","118.3720"
"207","Cattle Creek","1094","641","0.7067","326.0776"
"208","Winter Park","1087","996","0.0914","24.8499"
"209","Pine Brook Hill","1045","983","0.0631","141.0538"
"210","Ridgway","1044","894","0.1678","218.0724"
"211","Manassa","1019","999","0.0200","422.5130"
"212","Upper Bear Creek","1013","1059","-0.0434","103.3338"
"214","Ouray","1008","1006","0.0020","451.1238"
"213","Oak Creek","1008","895","0.1263","1092.7457"
"215","Wiggins","1002","898","0.1158","292.4992"
"216","Kittredge","998","1304","-0.2347","204.5224"
"217","Aspen Park","997","882","0.1304","154.8577"
"218","Ordway","988","1090","-0.0936","494.5341"
"219","Dillon","983","910","0.0802","254.2667"
"220","Keystone","978","1079","-0.0936","9.1206"
"221","Dolores","972","940","0.0340","564.8897"
"223","Hotchkiss","949","939","0.0106","395.5700"
"222","Dotsero","949","705","0.3461","270.2687"
"224","Blue River","945","851","0.1105","148.1370"
"225","Bow Mar","934","846","0.1040","543.1622"
"226","Haxtun","911","951","-0.0421","590.7605"
"227","Sanford","902","884","0.0204","238.4666"
"228","Ignacio","892","859","0.0384","797.9175"
"229","Mount Crested Butte","886","797","0.1117","167.1083"
"230","Log Lane Village","878","875","0.0034","1729.8039"
"231","Paragon Estates","876","928","-0.0560","201.8759"
"232","Lazy Acres","868","920","-0.0565","63.3604"
"233","Cheyenne Wells","863","846","0.0201","311.5355"
"234","Calhan","846","785","0.0777","394.6374"
"235","Ellicott","839","1131","-0.2582","29.6601"
"236","Howard","829","723","0.1466","19.1191"
"237","Blende","821","878","-0.0649","235.3548"
"238","La Veta","820","795","0.0314","231.6888"
"239","La Jara","819","828","-0.0109","775.3773"
"240","Fairplay","794","683","0.1625","267.2510"
"241","Holly","787","794","-0.0088","420.0290"
"242","Central City","781","665","0.1744","139.6211"
"243","Foxfield","780","719","0.0848","227.5738"
"244","Kiowa","773","720","0.0736","346.4193"
"245","Antonito","763","786","-0.0293","690.7228"
"247","Hugo","750","730","0.0274","317.5746"
"246","Deer Trail","750","549","0.3661","256.6366"
"248","Nucla","739","710","0.0408","411.3325"
"249","Silverton","734","645","0.1380","339.4377"
"250","Hot Sulphur Springs","730","671","0.0879","366.4548"
"251","Avondale","727","674","0.0786","237.4436"
"252","Silver Cliff","725","588","0.2330","18.1092"
"253","Williamsburg","720","661","0.0893","78.7080"
"254","Green Mountain Falls","714","645","0.1070","252.5940"
"255","Collbran","708","694","0.0202","489.6503"
"256","Eldorado Springs","704","585","0.2034","105.2064"
"257","Grand View Estates","674","528","0.2765","317.2899"
"258","Westcliffe","664","571","0.1629","207.6402"
"259","San Luis","654","630","0.0381","445.4768"
"260","Simla","653","614","0.0635","409.1581"
"261","Beulah Valley","646","556","0.1619","36.3099"
"262","Stratton","644","660","-0.0242","484.0104"
"263","Walden","620","606","0.0231","714.0710"
"264","Dove Creek","614","720","-0.1472","414.0982"
"265","Eads","612","611","0.0016","494.6054"
"266","Loghill Village","604","521","0.1593","41.9246"
"268","Salt Creek","601","587","0.0239","424.1654"
"267","Norwood","601","527","0.1404","820.2180"
"270","Watkins","598","0","Infinity","8.5234"
"269","Swink","598","618","-0.0324","824.7525"
"271","Fort Garland","587","433","0.3557","603.4178"
"272","Johnson Village","564","246","1.2927","728.6464"
"273","North Washington","553","484","0.1426","41.4347"
"274","Naturita","549","544","0.0092","344.4036"
"276","Mountain View","543","508","0.0689","2254.8242"
"275","Flagler","543","560","-0.0304","164.1972"
"277","Chacra","541","329","0.6444","220.8335"
"278","Rockvale","532","487","0.0924","100.7063"
"279","Saguache","528","486","0.0864","517.0287"
"280","Walsh","527","549","-0.0401","454.9025"
"282","St. Mary's","516","283","0.8233","138.4982"
"281","Grand Lake","516","469","0.1002","193.5956"
"283","De Beque","515","495","0.0404","100.9697"
"284","Downieville-Lawson-Dumont","513","594","-0.1364","254.6967"
"285","Granada","512","517","-0.0097","288.4621"
"286","Otis","507","474","0.0696","473.7432"
"287","Aguilar","496","534","-0.0712","488.1553"
"288","Yampa","490","426","0.1502","787.2422"
"289","Nunn","477","420","0.1357","49.5722"
"290","Heeney","463","0","Infinity","786.3585"
"291","Red Feather Lakes","443","343","0.2915","18.7634"
"292","Altona","442","501","-0.1178","101.2257"
"293","St. Ann Highlands","440","288","0.5278","122.1679"
"294","Crawford","428","427","0.0023","657.9494"
"295","Victor","427","410","0.0415","574.9192"
"296","Manzanola","423","432","-0.0208","574.4254"
"297","Coaldale","418","255","0.6392","5.4064"
"299","Romeo","416","406","0.0246","688.1732"
"298","Morrison","416","418","-0.0048","74.1075"
"301","Mulford","407","174","1.3391","235.1201"
"300","Blanca","407","384","0.0599","85.7382"
"302","Wiley","405","405","0","502.4253"
"304","Midland","404","156","1.5897","90.6191"
"303","Fleming","404","409","-0.0122","318.8182"
"305","Allenspark","401","528","-0.2405","12.9811"
"306","Tabernash","400","417","-0.0408","32.5346"
"307","Sugarloaf","393","261","0.5057","69.6749"
"308","Lake City","391","407","-0.0393","182.3771"
"309","Alpine","390","174","1.2414","143.3228"
"310","Copper Mountain","371","385","-0.0364","4.4683"
